State,County,FIPS,rural,Appalachia,land_area,year,coal_prod,mortality,unemployment,median_income,poverty_rate,median_age,hs_grad_rate,ba_higher_rate,total_population,perc_male,perc_white,perc_black,perc_amerin,perc_asian,perc_hisp
Alabama,"Autauga County, AL",1001,0,0,594.44,2010,0,889.3,6.2,53255,10.6,36.2,35.2,22.3,53155,48.5,79.1,17.9,0.3,0.7,2.3
Alabama,"Baldwin County, AL",1003,0,0,1589.78,2010,0,814.1,6.6,50147,12.2,41,29.9,25.7,175791,48.9,86.2,9.5,0.6,0.7,3.9
Alabama,"Barbour County, AL",1005,1,0,884.88,2010,0,943.9,9.6,33219,25,38,35.4,8.9,27699,52.9,49.7,46.6,0.3,0.2,4.6
Alabama,"Bibb County, AL",1007,0,1,622.58,2010,127667,994.4,9.1,41770,12.6,38.3,42.3,13.1,22610,53.8,84.2,15.3,0.2,0.2,0.6
Alabama,"Blount County, AL",1009,0,1,644.78,2010,148994,890.7,7.5,45549,13.4,38.3,36.4,11.8,56692,49.5,95.1,1.3,0.4,0.4,7.5
Alabama,"Bullock County, AL",1011,1,0,622.8,2010,0,1075.2,11.2,31602,25.3,38.7,36.6,17.4,10923,53.5,23.7,74.2,0.2,0.4,1.6
Alabama,"Butler County, AL",1013,1,0,776.83,2010,0,986.9,9.5,30659,25,39.7,38.7,12.1,20895,46.9,55,42.9,0.1,0.8,0.3
Alabama,"Calhoun County, AL",1015,0,1,605.87,2010,0,1066,11.7,38407,19.5,38.1,34.5,17.3,117149,48.1,75.5,20.4,0.4,0.7,3
Alabama,"Chambers County, AL",1017,1,1,596.53,2010,0,1012.9,14.2,31467,20.3,40.1,34.3,12.2,34579,47.5,59.1,39.1,0,0.4,1.5
Alabama,"Cherokee County, AL",1019,1,1,553.7,2010,0,979.8,12.4,40690,17.6,43.9,35.3,7.7,25700,49.8,92.8,4.7,0.8,0.3,1.2
Alabama,"Chilton County, AL",1021,0,1,692.85,2010,0,1012.5,9.1,39486,18.4,37.2,40.5,16.2,43121,49.4,87.5,9.4,0.6,0.2,6.5
Alabama,"Choctaw County, AL",1023,1,0,913.5,2010,0,919.3,13.1,31076,18.7,43.2,39.3,15.3,14111,48.6,55.4,43,0,0.3,0.4
Alabama,"Clarke County, AL",1025,1,0,1238.46,2010,0,1020.4,10,27439,29.2,38.9,42.1,19.7,26255,47.1,55,41.9,1.8,0.4,0.9
Alabama,"Clay County, AL",1027,1,1,603.96,2010,0,970.9,10.9,35595,18.8,41.3,38.8,10.5,14040,49,82.4,15.4,0.4,0,2.6
Alabama,"Cleburne County, AL",1029,1,1,560.1,2010,0,1063.4,12.9,36077,17.1,40.1,39.5,11,14823,49.9,94.3,4.1,0.2,0,1.4
Alabama,"Coffee County, AL",1031,1,0,678.97,2010,0,934.6,7.5,42253,17.2,37.9,28.2,25.9,48349,49.1,77.5,17.3,0.9,1.1,5.6
Alabama,"Colbert County, AL",1033,0,1,592.62,2010,0,1009.2,7.4,39610,15.7,41.6,34.3,16.9,54446,48.1,81.4,16.1,0.6,0.5,2
Alabama,"Conecuh County, AL",1035,1,0,850.16,2010,0,993.7,12.6,26944,30.6,43.4,37,8,13382,50.9,52.1,46.2,0.9,0,0.3
Alabama,"Coosa County, AL",1037,1,1,650.93,2010,0,1032.5,11,35560,16,43.8,42.5,7.1,11470,49.4,65.5,33.8,0,0,0.1
Alabama,"Covington County, AL",1039,1,0,1030.46,2010,0,919.9,8.9,33852,19,42.1,37.3,12.3,37608,48.5,84.8,12.9,0.2,0.5,1.3
Alabama,"Crenshaw County, AL",1041,1,0,608.84,2010,0,970.4,8.6,35140,17.7,39.5,38.2,14.7,13928,48.4,73.2,20.8,0.8,3.8,1.3
