FIPS,smoking_2010,smoking_2011,smoking_2012,smoking_2013,smoking_2014,smoking_2015,smoking_2016,smoking_2017,obesity_2010,obesity_2011,obesity_2012,obesity_2013,obesity_2014,obesity_2015,obesity_2016,obesity_2017,drinking_2010,drinking_2011,drinking_2012,drinking_2013,drinking_2014,drinking_2015,drinking_2016,drinking_2017,uninsured_2010,uninsured_2011,uninsured_2012,uninsured_2013,uninsured_2014,uninsured_2015,uninsured_2016,uninsured_2017,PopToPCP_2010,PopToPCP_2011,PopToPCP_2012,PopToPCP_2013,PopToPCP_2014,PopToPCP_2015,PopToPCP_2016,PopToPCP_2017
1000,0.2386,0.236,0.231,0.225,0.214049468,0.219,0.211,0.214049468,0.309,0.319,0.328704498,0.328704498,0.340408063,0.332267799,0.335911859,0.340408063,0.1196,0.126,0.123,0.123,0.12965296,0.122,0.133,0.12965296,0.156,0.171,0.158,0.169,0.141613838,0.157667473,0.158717717,0.141613838,1241.816667,1253.67569,1253.67569,1641.084019,1551.80064,1593.530403,1568.371837,1551.80064
1001,0.2814,0.274,0.246,0.235,0.173802394,0.217,0.187,0.173802394,0.3,0.315,0.341,0.341,0.341,0.313,0.309,0.341,0.1359,0.141,0.159,0.165,0.149541225,0.167,0.151,0.149541225,0.14,0.155,0.138,0.136,0.110162345,0.128367074,0.134205355,0.110162345,1914.8,2288.818182,2288.818182,2731.85,2408.478261,3084.111111,2511.181818,2408.478261
1003,0.2309,0.219,0.227,0.226,0.179371199,0.206,0.186,0.179371199,0.245,0.262,0.255,0.255,0.274,0.25,0.267,0.274,0.1785,0.194,0.197,0.187,0.153780314,0.179,0.151,0.153780314,0.209,0.209,0.164,0.191,0.161329919,0.157902919,0.174820025,0.161329919,1413.6,1223.694444,1223.694444,1347.492647,1352.101351,1324.930556,1330.204082,1352.101351
1005,0.2268,0.229,0.234,0.235,0.227766886,0.251,0.214,0.227766886,0.364,0.376,0.37,0.37,0.444,0.384,0.408,0.444,0.0984,0.085,0.11,0.127,0.1192345,0.135,0.124,0.1192345,0.151,0.163,0.194,0.185,0.153420943,0.175284306,0.174398934,0.153420943,2454.333333,2712.363636,2712.363636,2282.5,2444.272727,2266.75,2707.6,2444.272727
1007,,0.33,0.351,0.328,0.198507658,0.259,0.21,0.198507658,0.317,0.323,0.34,0.34,0.403,0.373,0.401,0.403,0.0954,0.113,0.131,0.132,0.143096517,0.112,0.138,0.143096517,0.177,0.199,0.184,0.177,0.135641714,0.151046458,0.149541391,0.135641714,2375,3598.166667,3598.166667,3813.333333,2500.666667,3766.166667,2814,2500.666667
1009,0.2342,0.223,0.227,0.22,0.210373815,0.213,0.194,0.210373815,0.315,0.319,0.32,0.32,0.346,0.309,0.324,0.346,0.0614,0.049,0.052,0.054,0.139028877,0.055,0.141,0.139028877,0.208,0.211,0.176,0.193,0.164752484,0.182957601,0.176069513,0.164752484,5003.181818,4445.692308,4445.692308,4782.25,5247.181818,3401.529412,3858.133333,5247.181818
1011,,,,,0.22774925,0.378,0.223,0.22774925,0.373,0.378,0.394,0.394,0.43,0.432,0.445,0.43,0.0454,0.044,0.046,,0.113809536,,0.113,0.113809536,0.17,0.188,0.211,0.162,0.173097113,0.175519008,0.185219832,0.173097113,1371.875,2184.2,2184.2,1815.5,3588,2618.5,2659.75,3588
1013,0.2751,0.273,0.287,0.29,0.218323475,0.305,0.228,0.218323475,0.355,0.368,0.408,0.408,0.363,0.384,0.36,0.363,0.0933,0.103,0.088,0.097,0.113774884,0.109,0.105,0.113774884,0.145,0.173,0.178,0.171,0.143968168,0.166017614,0.15529185,0.143968168,2259.777778,2241.222222,2241.222222,2991.571429,2255.111111,2901,2533.125,2255.111111
1015,0.2678,0.267,0.268,0.262,0.203203824,0.244,0.238,0.203203824,0.332,0.335,0.336,0.336,0.322,0.315,0.32,0.322,0.1213,0.133,0.125,0.127,0.146624727,0.116,0.129,0.146624727,0.133,0.156,0.155,0.161,0.142158355,0.152928227,0.159577455,0.142158355,1167.510417,1303.701149,1303.701149,1600.351351,1505.402597,1563.946667,1577.513514,1505.402597
1017,0.1748,0.199,0.214,0.238,0.209058747,0.241,0.208,0.209058747,0.357,0.355,0.352,0.352,0.397,0.397,0.398,0.397,0.0958,0.113,0.127,0.079,0.117121983,,0.12,0.117121983,0.134,0.154,0.187,0.188,0.148926946,0.1604257,0.167634201,0.148926946,1758.65,2027.823529,2027.823529,2438.785714,2434,2433.142857,2627.846154,2434
