effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),809.6663011158466,7.578458352640408,106.83786377657549,48.19827750710885,6.215829211820529e-59
fixed,NA,coal_mining,-30.242864282915757,17.667006528253822,-1.7118273112397449,32.456994447451066,0.09646962885866561
fixed,NA,median_mining,11.527719506576934,9.544984709427263,1.2077252984168105,13891.927883290682,0.22717350416697993
fixed,NA,Appalachia,5.774426059896181,2.7660962541010523,2.087572350866293,23592.609853559778,0.036847129641209085
fixed,NA,unemployment_std,16.41212843954957,1.9921217002596014,8.238516972838978,23895.386980210635,1.8320899741093127e-16
fixed,NA,median_income_std,-33.25234468218786,2.888252423952023,-11.512963481456502,23869.47186300284,1.3672602926512176e-30
fixed,NA,poverty_rate_std,51.2587740427142,2.8690047529680505,17.866395651553326,23919.324934331034,6.233164813285976e-71
fixed,NA,median_age_std,-33.06391685574307,1.725374009400981,-19.163333095079057,23900.46267629217,3.0501907463661654e-81
fixed,NA,hs_grad_rate_std,10.663095306406582,1.8544576100086703,5.749980613661332,23914.07240619883,9.03401576419531e-9
fixed,NA,ba_higher_rate_std,-84.99709557731211,2.1912031313277436,-38.79014882833283,23927.682424163835,2.831e-319
fixed,NA,perc_male_std,-19.68442993478993,1.4043537516765545,-14.016717590770941,23913.82817805144,1.847630523253957e-44
fixed,NA,perc_black_std,-6.9160713269428715,2.194942538988987,-3.150912246718078,23381.067879025155,0.0016296662580375892
fixed,NA,perc_amerin_std,31.56342201482004,1.7425891487656127,18.11294534754703,21799.767266655643,8.614547992732098e-73
fixed,NA,perc_hisp_std,-68.00178890019696,2.123155467388462,-32.02864318920601,23476.431702276765,2.3866523380592946e-220
fixed,NA,coal_mining:Appalachia,63.94355555299368,14.01129492905525,4.56371490834825,1777.0673534628063,5.3700044655916405e-6
fixed,NA,median_mining:Appalachia,40.576612647166094,12.078624349861492,3.3593736730152877,18387.995786263273,7.827809242600118e-4
ran_pars,State,sd__(Intercept),53.403796490018905,NA,NA,NA,NA
ran_pars,State,sd__coal_mining,79.28414967417267,NA,NA,NA,NA
ran_pars,State,cor__(Intercept).coal_mining,-0.27678895161059486,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,98.30227723578193,NA,NA,NA,NA
