effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),784.7652426262837,12.523626131125894,62.66278108349535,50.096879519243736,2.9351564704516707e-49
fixed,NA,coal_mining,13.187114258621529,19.82817993948459,0.665069325518957,33.34712595816768,0.5105799441095118
fixed,NA,median_mining,22.395813508954888,11.620956309831472,1.927191954934703,10730.153550436171,0.053982082077555546
fixed,NA,Appalachia,26.202496305276274,3.1667758516283397,8.274187227935027,23867.40847198968,1.3602359351396262e-16
fixed,NA,coal_mining:Appalachia,104.974506401059,16.836043282716115,6.235105519645809,1125.7610838524652,6.374095401046464e-10
fixed,NA,median_mining:Appalachia,33.79370369582703,14.733213981142313,2.2937088770366785,15790.793649755036,0.021820296367015875
ran_pars,State,sd__(Intercept),88.81725916296384,NA,NA,NA,NA
ran_pars,State,sd__coal_mining,89.09842604204341,NA,NA,NA,NA
ran_pars,State,cor__(Intercept).coal_mining,-0.41612913103379734,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,120.34885400572871,NA,NA,NA,NA
