effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),791.3112865279826,7.05217268068939,112.208155182415,56.5608540021102,3.805566843970555e-68
fixed,NA,time,-6.470528585079833,1.0807230241496173,-5.987221925036032,23882.041541653336,2.1650368100715998e-9
fixed,NA,I(time^2),1.6354040595614456,0.14428976784997724,11.334165158972523,23876.364718435103,1.0585676876691545e-29
fixed,NA,coal_mining,-21.63821803971616,16.54921522313228,-1.3075071988592268,32.34627750356046,0.2002582655121749
fixed,NA,median_mining,13.665904791335766,9.341568924434329,1.4629132324432637,11695.25081008565,0.1435179951276141
fixed,NA,Appalachia,1.4987799565304463,2.708138051178932,0.5534355812762142,23477.14170414957,0.5799704503608408
fixed,NA,rural,-1.8611449438262013,1.648194205724224,-1.1292024552461073,23902.185393822794,0.2588237707316404
fixed,NA,unemployment_std,24.21954282915176,2.107470133741327,11.492235378043317,23705.977443359538,1.7383860762618e-30
fixed,NA,median_income_std,-48.758036314513134,3.0741009723891577,-15.860909173916601,23748.869601638344,2.3019535223713843e-56
fixed,NA,poverty_rate_std,38.46916636585051,3.0116015678914954,12.773657304470003,23919.436727722354,3.045496184349818e-37
fixed,NA,median_age_std,-32.33321401576312,1.798905259832303,-17.973828159676,23753.063290741957,9.341235355867472e-72
fixed,NA,hs_grad_rate_std,11.584350121738726,1.8700145162837576,6.194791548869938,23890.636242590615,5.93146702975678e-10
fixed,NA,ba_higher_rate_std,-70.2357556766326,2.3041043336052187,-30.482888579413906,23901.308485928595,2.9817074309703527e-200
fixed,NA,perc_male_std,-18.95183565868165,1.438056309001314,-13.178785517684712,23902.440135606426,1.5970175385775754e-39
fixed,NA,perc_black_std,-12.639142261127558,2.2019695472598264,-5.739926002544382,23325.02817169722,9.58921271399222e-9
fixed,NA,perc_amerin_std,27.52596299705582,1.7758733535506914,15.49995833994595,22320.036738202576,6.630833222218559e-54
fixed,NA,perc_hisp_std,-60.31547758269887,2.182757480763526,-27.632697683665977,23108.846745678926,2.1936680528099717e-165
fixed,NA,PopToPCP_m_std,-9.956628249655205,1.3523606512566884,-7.362406056700153,23883.11785045187,1.8646700664785865e-13
fixed,NA,drinking_m_std,-12.864147489803614,1.9469287916142906,-6.607405234958461,23432.88378649811,3.995069722078959e-11
fixed,NA,obesity_m_std,12.011312542296048,2.0606624355392857,5.82885985358035,23193.739748169402,5.654625277771993e-9
fixed,NA,smoking_m_std,35.256923183422415,1.7924254167980151,19.669952709332424,23881.470329962536,1.853633768908593e-85
fixed,NA,land_area_std,-3.936399930376067,1.8329046914272282,-2.147629360537514,1541.1196257445295,0.03189875149501816
fixed,NA,southern,60.708408510910864,13.300793148285893,4.564269802115862,38.61915573877942,4.98352978057058e-5
fixed,NA,uninsured_m_std,-34.2724481476593,2.2045778750970815,-15.546036515561994,22968.46560868115,3.1989588679450665e-54
fixed,NA,coal_mining:Appalachia,47.5038045997566,13.683181355041404,3.4716929760091495,1342.5208879734294,5.336045225504533e-4
fixed,NA,median_mining:Appalachia,33.282839371535175,11.827298368289101,2.8140694802096013,16491.764400924716,0.004897657026919824
fixed,NA,perc_male_std:perc_hisp_std,10.638856588167235,1.9460244882409818,5.466969533247617,23868.847829960534,4.623797793586312e-8
fixed,NA,coal_mining:hs_grad_rate_std,-25.600361450965373,7.5678642948432415,-3.382772266200586,15787.969274722755,7.193238379956842e-4
fixed,NA,coal_mining:ba_higher_rate_std,-30.68176403972967,8.00866713295378,-3.8310699558833496,18192.47792544762,1.2801575286704555e-4
ran_pars,State,sd__(Intercept),41.67574626895701,NA,NA,NA,NA
ran_pars,State,sd__coal_mining,75.00845683190191,NA,NA,NA,NA
ran_pars,State,cor__(Intercept).coal_mining,-0.4121021705143126,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,95.92502315073635,NA,NA,NA,NA
