State,n_county,rural_mean,median_mining_mean,coal_mining_mean,Appalachia_mean
Alabama,536,0.5671641791044776,0.04664179104477612,0.13619402985074627,0.5522388059701493
Alaska,128,0.8125,0.0390625,0.046875,0
Arizona,120,0.4666666666666667,0.06666666666666667,0.06666666666666667,0
Arkansas,600,0.7333333333333333,0,0.013333333333333334,0
California,456,0.3508771929824561,0,0,0
Colorado,416,0.7115384615384616,0.08413461538461539,0.14182692307692307,0
Connecticut,64,0.125,0,0,0
Delaware,24,0,0,0,0
District of Columbia,8,0,0,0,0
Florida,536,0.34328358208955223,0,0,0
Georgia,1232,0.5324675324675324,0,0,0.24025974025974026
Hawaii,32,0.5,0,0,0
Idaho,328,0.7317073170731707,0,0,0
Illinois,816,0.6078431372549019,0.09803921568627451,0.1323529411764706,0
Indiana,736,0.5217391304347826,0.059782608695652176,0.09375,0
Iowa,792,0.7878787878787878,0,0,0
Kansas,768,0.8020833333333334,0,0.010416666666666666,0
Kentucky,960,0.7083333333333334,0.10520833333333333,0.22083333333333333,0.45
Louisiana,512,0.453125,0.015625,0.029296875,0
Maine,128,0.6875,0,0,0
Maryland,192,0.20833333333333334,0.015625,0.08333333333333333,0.125
Massachusetts,112,0.21428571428571427,0,0,0
Michigan,656,0.6829268292682927,0,0,0
Minnesota,696,0.6896551724137931,0,0,0
Mississippi,648,0.7901234567901234,0.012345679012345678,0.020061728395061727,0.2962962962962963
Missouri,920,0.7043478260869566,0,0.008695652173913044,0
Montana,328,0.9024390243902439,0.07317073170731707,0.0975609756097561,0
Nebraska,600,0.8266666666666667,0,0,0
Nevada,112,0.7857142857142857,0,0,0
New Hampshire,80,0.7,0,0,0
New Jersey,168,0,0,0,0
New Mexico,256,0.78125,0.0625,0.0625,0
New York,496,0.3870967741935484,0,0,0.22580645161290322
North Carolina,800,0.54,0,0,0.29
North Dakota,344,0.8837209302325582,0.046511627906976744,0.046511627906976744,0
Ohio,704,0.5681818181818182,0.046875,0.15625,0.36363636363636365
Oklahoma,616,0.7662337662337663,0,0.05844155844155844,0
Oregon,264,0.6060606060606061,0,0,0
Pennsylvania,536,0.44776119402985076,0.08208955223880597,0.3824626865671642,0.7761194029850746
Rhode Island,40,0,0,0,0
South Carolina,368,0.43478260869565216,0,0,0.13043478260869565
South Dakota,400,0.84,0,0,0
Tennessee,760,0.5578947368421052,0,0.02763157894736842,0.5473684210526316
Texas,1808,0.6592920353982301,0.03926991150442478,0.04756637168141593,0
Utah,200,0.6,0.105,0.15,0
Vermont,112,0.7857142857142857,0,0,0
Virginia,1048,0.3893129770992366,0.02099236641221374,0.046755725190839696,0.183206106870229
Washington,304,0.4473684210526316,0,0,0
West Virginia,440,0.6181818181818182,0.2863636363636364,0.45454545454545453,1
Wisconsin,576,0.6388888888888888,0,0,0
Wyoming,176,0.9090909090909091,0.18181818181818182,0.22727272727272727,0
